image,type,model,prediction,gold,num_lines,correct
run_055.png,direct_vqa,qwen8b,3.0,3,1,True
run_056.png,direct_vqa,qwen8b,3.0,2,2,False
run_058.png,direct_vqa,qwen8b,,2,1,False
run_061.png,direct_vqa,qwen8b,3.0,2,1,False
run_062.png,direct_vqa,qwen8b,2.0,3,2,False
run_063.png,direct_vqa,qwen8b,3.0,2,3,False
run_064.png,direct_vqa,qwen8b,2.0,4,1,False
run_065.png,direct_vqa,qwen8b,3.0,2,2,False
run_066.png,direct_vqa,qwen8b,3.0,3,3,True
run_068.png,direct_vqa,qwen8b,2.0,3,2,False
run_069.png,direct_vqa,qwen8b,3.0,3,3,True
run_070.png,direct_vqa,qwen8b,2.0,4,1,False
run_071.png,direct_vqa,qwen8b,3.0,3,2,True
run_072.png,direct_vqa,qwen8b,4.0,3,3,False
run_073.png,direct_vqa,qwen8b,4.0,1,1,False
run_074.png,direct_vqa,qwen8b,3.0,2,2,False
run_075.png,direct_vqa,qwen8b,2.0,3,3,False
run_076.png,direct_vqa,qwen8b,3.0,1,1,False
run_078.png,direct_vqa,qwen8b,2.0,2,3,True
run_079.png,direct_vqa,qwen8b,1.0,1,1,True
run_080.png,direct_vqa,qwen8b,2.0,2,2,True
run_082.png,direct_vqa,qwen8b,2.0,1,1,False
run_084.png,direct_vqa,qwen8b,3.0,2,3,False
run_085.png,direct_vqa,qwen8b,3.0,3,1,True
run_086.png,direct_vqa,qwen8b,3.0,3,2,True
run_087.png,direct_vqa,qwen8b,,2,3,False
run_088.png,direct_vqa,qwen8b,3.0,4,1,False
run_089.png,direct_vqa,qwen8b,3.0,2,2,False
run_090.png,direct_vqa,qwen8b,4.0,3,3,False
run_092.png,direct_vqa,qwen8b,2.0,4,2,False
run_093.png,direct_vqa,qwen8b,3.0,2,3,False
run_094.png,direct_vqa,qwen8b,2.0,3,1,False
run_095.png,direct_vqa,qwen8b,3.0,3,2,True
run_096.png,direct_vqa,qwen8b,2.0,3,3,False
run_097.png,direct_vqa,qwen8b,1.0,1,1,True
run_098.png,direct_vqa,qwen8b,3.0,3,2,True
run_099.png,direct_vqa,qwen8b,3.0,3,3,True
run_103.png,direct_vqa,qwen8b,3.0,2,1,False
run_107.png,direct_vqa,qwen8b,2.0,2,2,True
run_110.png,direct_vqa,qwen8b,2.0,3,2,False
run_113.png,direct_vqa,qwen8b,1.0,2,2,False
run_114.png,direct_vqa,qwen8b,2.0,2,3,True
run_001_1.png,direct_vqa,qwen235b,2.0,1,1,False
run_004.png,direct_vqa,qwen235b,3.0,3,1,True
run_006_1.png,direct_vqa,qwen235b,1.0,2,3,False
run_007.png,direct_vqa,qwen235b,3.0,1,1,False
run_008.png,direct_vqa,qwen235b,3.0,3,2,True
run_009.png,direct_vqa,qwen235b,2.0,2,3,True
run_010.png,direct_vqa,qwen235b,2.0,4,1,False
run_011.png,direct_vqa,qwen235b,4.0,3,2,False
run_011_2.png,direct_vqa,qwen235b,2.0,2,2,True
run_012.png,direct_vqa,qwen235b,2.0,3,3,False
run_012_1.png,direct_vqa,qwen235b,2.0,3,3,False
run_013.png,direct_vqa,qwen235b,3.0,1,1,False
run_014.png,direct_vqa,qwen235b,3.0,2,2,False
run_015.png,direct_vqa,qwen235b,3.0,2,3,False
run_016.png,direct_vqa,qwen235b,2.0,1,1,False
run_016_1.png,direct_vqa,qwen235b,3.0,1,1,False
run_017.png,direct_vqa,qwen235b,3.0,3,2,True
run_018.png,direct_vqa,qwen235b,4.0,2,3,False
run_019.png,direct_vqa,qwen235b,3.0,4,1,False
run_020.png,direct_vqa,qwen235b,3.0,2,2,False
run_021.png,direct_vqa,qwen235b,3.0,3,3,True
run_022.png,direct_vqa,qwen235b,3.0,4,1,False
run_023.png,direct_vqa,qwen235b,3.0,4,2,False
run_023_1.png,direct_vqa,qwen235b,3.0,3,2,True
run_024_1.png,direct_vqa,qwen235b,1.0,2,3,False
run_025.png,direct_vqa,qwen235b,2.0,4,1,False
run_026.png,direct_vqa,qwen235b,4.0,4,2,True
run_027.png,direct_vqa,qwen235b,3.0,2,3,False
run_028.png,direct_vqa,qwen235b,3.0,4,1,False
run_029.png,direct_vqa,qwen235b,2.0,2,2,True
run_030.png,direct_vqa,qwen235b,3.0,2,3,False
run_031.png,direct_vqa,qwen235b,3.0,3,1,True
run_032.png,direct_vqa,qwen235b,1.0,2,2,False
run_033_1.png,direct_vqa,qwen235b,3.0,2,3,False
run_034.png,direct_vqa,qwen235b,3.0,4,1,False
run_035.png,direct_vqa,qwen235b,3.0,3,2,True
run_036_1.png,direct_vqa,qwen235b,2.0,2,3,True
run_037.png,direct_vqa,qwen235b,3.0,4,1,False
run_038.png,direct_vqa,qwen235b,2.0,2,2,True
run_039.png,direct_vqa,qwen235b,2.0,3,3,False
run_040.png,direct_vqa,qwen235b,3.0,3,1,True
run_042.png,direct_vqa,qwen235b,3.0,3,3,True
run_042_1.png,direct_vqa,qwen235b,4.0,3,3,False
run_043.png,direct_vqa,qwen235b,3.0,1,1,False
run_044.png,direct_vqa,qwen235b,2.0,1,2,False
run_045.png,direct_vqa,qwen235b,3.0,2,3,False
run_045_1.png,direct_vqa,qwen235b,3.0,3,3,True
run_046.png,direct_vqa,qwen235b,2.0,3,1,False
run_047.png,direct_vqa,qwen235b,2.0,1,2,False
run_047_1.png,direct_vqa,qwen235b,3.0,2,2,False
run_048.png,direct_vqa,qwen235b,3.0,3,3,True
run_049.png,direct_vqa,qwen235b,2.0,1,1,False
run_050.png,direct_vqa,qwen235b,3.0,3,2,True
run_050_1.png,direct_vqa,qwen235b,3.0,3,2,True
run_051.png,direct_vqa,qwen235b,1.0,2,3,False
run_052.png,direct_vqa,qwen235b,4.0,4,1,True
run_054.png,direct_vqa,qwen235b,2.0,3,3,False
run_055.png,direct_vqa,qwen235b,3.0,3,1,True
run_056.png,direct_vqa,qwen235b,4.0,2,2,False
run_058.png,direct_vqa,qwen235b,3.0,2,1,False
run_061.png,direct_vqa,qwen235b,4.0,2,1,False
run_062.png,direct_vqa,qwen235b,3.0,3,2,True
run_063.png,direct_vqa,qwen235b,3.0,2,3,False
run_064.png,direct_vqa,qwen235b,3.0,4,1,False
run_065.png,direct_vqa,qwen235b,2.0,2,2,True
run_066.png,direct_vqa,qwen235b,3.0,3,3,True
run_068.png,direct_vqa,qwen235b,4.0,3,2,False
run_069.png,direct_vqa,qwen235b,3.0,3,3,True
run_070.png,direct_vqa,qwen235b,3.0,4,1,False
run_071.png,direct_vqa,qwen235b,3.0,3,2,True
run_072.png,direct_vqa,qwen235b,3.0,3,3,True
run_073.png,direct_vqa,qwen235b,4.0,1,1,False
run_074.png,direct_vqa,qwen235b,3.0,2,2,False
run_075.png,direct_vqa,qwen235b,3.0,3,3,True
run_076.png,direct_vqa,qwen235b,2.0,1,1,False
run_078.png,direct_vqa,qwen235b,3.0,2,3,False
run_079.png,direct_vqa,qwen235b,2.0,1,1,False
run_080.png,direct_vqa,qwen235b,2.0,2,2,True
run_082.png,direct_vqa,qwen235b,3.0,1,1,False
run_084.png,direct_vqa,qwen235b,2.0,2,3,True
run_085.png,direct_vqa,qwen235b,3.0,3,1,True
run_086.png,direct_vqa,qwen235b,2.0,3,2,False
run_087.png,direct_vqa,qwen235b,3.0,2,3,False
run_088.png,direct_vqa,qwen235b,3.0,4,1,False
run_089.png,direct_vqa,qwen235b,3.0,2,2,False
run_090.png,direct_vqa,qwen235b,3.0,3,3,True
run_092.png,direct_vqa,qwen235b,3.0,4,2,False
run_093.png,direct_vqa,qwen235b,2.0,2,3,True
run_094.png,direct_vqa,qwen235b,2.0,3,1,False
run_095.png,direct_vqa,qwen235b,3.0,3,2,True
run_096.png,direct_vqa,qwen235b,4.0,3,3,False
run_097.png,direct_vqa,qwen235b,2.0,1,1,False
run_098.png,direct_vqa,qwen235b,4.0,3,2,False
run_099.png,direct_vqa,qwen235b,2.0,3,3,False
run_103.png,direct_vqa,qwen235b,2.0,2,1,True
run_107.png,direct_vqa,qwen235b,3.0,2,2,False
run_110.png,direct_vqa,qwen235b,3.0,3,2,True
run_113.png,direct_vqa,qwen235b,2.0,2,2,True
run_114.png,direct_vqa,qwen235b,4.0,2,3,False
run_001_1.png,paths,qwen8b,2.0,1,1,False
run_004.png,paths,qwen8b,2.0,3,1,False
run_006_1.png,paths,qwen8b,3.0,2,3,False
run_007.png,paths,qwen8b,3.0,1,1,False
run_008.png,paths,qwen8b,2.0,3,2,False
run_009.png,paths,qwen8b,3.0,2,3,False
run_010.png,paths,qwen8b,2.0,4,1,False
run_011.png,paths,qwen8b,3.0,3,2,True
run_011_2.png,paths,qwen8b,,2,2,False
run_012.png,paths,qwen8b,2.0,3,3,False
run_012_1.png,paths,qwen8b,3.0,3,3,True
run_013.png,paths,qwen8b,,1,1,False
run_014.png,paths,qwen8b,3.0,2,2,False
run_015.png,paths,qwen8b,3.0,2,3,False
run_016.png,paths,qwen8b,2.0,1,1,False
run_016_1.png,paths,qwen8b,2.0,1,1,False
run_017.png,paths,qwen8b,3.0,3,2,True
run_018.png,paths,qwen8b,2.0,2,3,True
run_019.png,paths,qwen8b,2.0,4,1,False
run_020.png,paths,qwen8b,2.0,2,2,True
run_021.png,paths,qwen8b,2.0,3,3,False
run_022.png,paths,qwen8b,4.0,4,1,True
run_023.png,paths,qwen8b,3.0,4,2,False
run_023_1.png,paths,qwen8b,3.0,3,2,True
run_024_1.png,paths,qwen8b,3.0,2,3,False
run_025.png,paths,qwen8b,2.0,4,1,False
run_026.png,paths,qwen8b,2.0,4,2,False
run_027.png,paths,qwen8b,3.0,2,3,False
run_028.png,paths,qwen8b,3.0,4,1,False
run_029.png,paths,qwen8b,2.0,2,2,True
run_030.png,paths,qwen8b,2.0,2,3,True
run_031.png,paths,qwen8b,2.0,3,1,False
run_032.png,paths,qwen8b,3.0,2,2,False
run_033_1.png,paths,qwen8b,3.0,2,3,False
run_034.png,paths,qwen8b,3.0,4,1,False
run_035.png,paths,qwen8b,3.0,3,2,True
run_036_1.png,paths,qwen8b,,2,3,False
run_037.png,paths,qwen8b,2.0,4,1,False
run_038.png,paths,qwen8b,3.0,2,2,False
run_039.png,paths,qwen8b,2.0,3,3,False
run_040.png,paths,qwen8b,3.0,3,1,True
run_042.png,paths,qwen8b,3.0,3,3,True
run_042_1.png,paths,qwen8b,3.0,3,3,True
run_043.png,paths,qwen8b,3.0,1,1,False
run_044.png,paths,qwen8b,2.0,1,2,False
run_045.png,paths,qwen8b,2.0,2,3,True
run_045_1.png,paths,qwen8b,3.0,3,3,True
run_046.png,paths,qwen8b,2.0,3,1,False
run_047.png,paths,qwen8b,3.0,1,2,False
run_047_1.png,paths,qwen8b,3.0,2,2,False
run_048.png,paths,qwen8b,3.0,3,3,True
run_049.png,paths,qwen8b,3.0,1,1,False
run_050.png,paths,qwen8b,3.0,3,2,True
run_050_1.png,paths,qwen8b,3.0,3,2,True
run_051.png,paths,qwen8b,3.0,2,3,False
run_052.png,paths,qwen8b,4.0,4,1,True
run_054.png,paths,qwen8b,3.0,3,3,True
run_055.png,paths,qwen8b,3.0,3,1,True
run_056.png,paths,qwen8b,3.0,2,2,False
run_058.png,paths,qwen8b,4.0,2,1,False
run_061.png,paths,qwen8b,4.0,2,1,False
run_062.png,paths,qwen8b,4.0,3,2,False
run_063.png,paths,qwen8b,2.0,2,3,True
run_064.png,paths,qwen8b,2.0,4,1,False
run_065.png,paths,qwen8b,4.0,2,2,False
run_066.png,paths,qwen8b,2.0,3,3,False
run_068.png,paths,qwen8b,,3,2,False
run_069.png,paths,qwen8b,3.0,3,3,True
run_070.png,paths,qwen8b,3.0,4,1,False
run_071.png,paths,qwen8b,3.0,3,2,True
run_072.png,paths,qwen8b,3.0,3,3,True
run_073.png,paths,qwen8b,3.0,1,1,False
run_074.png,paths,qwen8b,3.0,2,2,False
run_075.png,paths,qwen8b,3.0,3,3,True
run_076.png,paths,qwen8b,2.0,1,1,False
run_078.png,paths,qwen8b,2.0,2,3,True
run_079.png,paths,qwen8b,,1,1,False
run_080.png,paths,qwen8b,2.0,2,2,True
run_082.png,paths,qwen8b,3.0,1,1,False
run_084.png,paths,qwen8b,2.0,2,3,True
run_085.png,paths,qwen8b,3.0,3,1,True
run_086.png,paths,qwen8b,2.0,3,2,False
run_087.png,paths,qwen8b,2.0,2,3,True
run_088.png,paths,qwen8b,2.0,4,1,False
run_089.png,paths,qwen8b,3.0,2,2,False
run_090.png,paths,qwen8b,3.0,3,3,True
run_092.png,paths,qwen8b,2.0,4,2,False
run_093.png,paths,qwen8b,2.0,2,3,True
run_094.png,paths,qwen8b,1.0,3,1,False
run_095.png,paths,qwen8b,3.0,3,2,True
run_096.png,paths,qwen8b,3.0,3,3,True
run_097.png,paths,qwen8b,2.0,1,1,False
run_098.png,paths,qwen8b,3.0,3,2,True
run_099.png,paths,qwen8b,3.0,3,3,True
run_103.png,paths,qwen8b,4.0,2,1,False
run_107.png,paths,qwen8b,3.0,2,2,False
run_110.png,paths,qwen8b,3.0,3,2,True
run_113.png,paths,qwen8b,3.0,2,2,False
run_114.png,paths,qwen8b,2.0,2,3,True
run_001_1.png,paths,qwen235b,2.0,1,1,False
run_004.png,paths,qwen235b,3.0,3,1,True
run_006_1.png,paths,qwen235b,3.0,2,3,False
run_007.png,paths,qwen235b,3.0,1,1,False
run_008.png,paths,qwen235b,4.0,3,2,False
run_009.png,paths,qwen235b,3.0,2,3,False
run_010.png,paths,qwen235b,3.0,4,1,False
run_011.png,paths,qwen235b,4.0,3,2,False
run_011_2.png,paths,qwen235b,3.0,2,2,False
run_012.png,paths,qwen235b,4.0,3,3,False
run_012_1.png,paths,qwen235b,3.0,3,3,True
run_013.png,paths,qwen235b,3.0,1,1,False
run_014.png,paths,qwen235b,3.0,2,2,False
run_015.png,paths,qwen235b,3.0,2,3,False
run_016.png,paths,qwen235b,3.0,1,1,False
run_016_1.png,paths,qwen235b,3.0,1,1,False
run_017.png,paths,qwen235b,1.0,3,2,False
run_018.png,paths,qwen235b,4.0,2,3,False
run_019.png,paths,qwen235b,3.0,4,1,False
run_020.png,paths,qwen235b,,2,2,False
run_021.png,paths,qwen235b,4.0,3,3,False
run_022.png,paths,qwen235b,4.0,4,1,True
run_023.png,paths,qwen235b,3.0,4,2,False
run_023_1.png,paths,qwen235b,3.0,3,2,True
run_024_1.png,paths,qwen235b,3.0,2,3,False
run_025.png,paths,qwen235b,3.0,4,1,False
run_026.png,paths,qwen235b,3.0,4,2,False
run_027.png,paths,qwen235b,4.0,2,3,False
run_028.png,paths,qwen235b,4.0,4,1,True
run_029.png,paths,qwen235b,4.0,2,2,False
run_030.png,paths,qwen235b,2.0,2,3,True
run_031.png,paths,qwen235b,3.0,3,1,True
run_032.png,paths,qwen235b,1.0,2,2,False
run_033_1.png,paths,qwen235b,3.0,2,3,False
run_034.png,paths,qwen235b,3.0,4,1,False
run_035.png,paths,qwen235b,4.0,3,2,False
run_036_1.png,paths,qwen235b,3.0,2,3,False
run_037.png,paths,qwen235b,4.0,4,1,True
run_038.png,paths,qwen235b,3.0,2,2,False
run_039.png,paths,qwen235b,3.0,3,3,True
run_040.png,paths,qwen235b,4.0,3,1,False
run_042.png,paths,qwen235b,3.0,3,3,True
run_042_1.png,paths,qwen235b,3.0,3,3,True
run_043.png,paths,qwen235b,3.0,1,1,False
run_044.png,paths,qwen235b,3.0,1,2,False
run_045.png,paths,qwen235b,3.0,2,3,False
run_045_1.png,paths,qwen235b,4.0,3,3,False
run_046.png,paths,qwen235b,3.0,3,1,True
run_047.png,paths,qwen235b,3.0,1,2,False
run_047_1.png,paths,qwen235b,3.0,2,2,False
run_048.png,paths,qwen235b,3.0,3,3,True
run_049.png,paths,qwen235b,3.0,1,1,False
run_050.png,paths,qwen235b,4.0,3,2,False
run_050_1.png,paths,qwen235b,4.0,3,2,False
run_051.png,paths,qwen235b,3.0,2,3,False
run_052.png,paths,qwen235b,3.0,4,1,False
run_054.png,paths,qwen235b,3.0,3,3,True
run_055.png,paths,qwen235b,3.0,3,1,True
run_056.png,paths,qwen235b,3.0,2,2,False
run_058.png,paths,qwen235b,2.0,2,1,True
run_061.png,paths,qwen235b,3.0,2,1,False
run_062.png,paths,qwen235b,2.0,3,2,False
run_063.png,paths,qwen235b,4.0,2,3,False
run_064.png,paths,qwen235b,4.0,4,1,True
run_065.png,paths,qwen235b,4.0,2,2,False
run_066.png,paths,qwen235b,3.0,3,3,True
run_068.png,paths,qwen235b,3.0,3,2,True
run_069.png,paths,qwen235b,3.0,3,3,True
run_070.png,paths,qwen235b,4.0,4,1,True
run_071.png,paths,qwen235b,3.0,3,2,True
run_072.png,paths,qwen235b,4.0,3,3,False
run_073.png,paths,qwen235b,3.0,1,1,False
run_074.png,paths,qwen235b,4.0,2,2,False
run_075.png,paths,qwen235b,4.0,3,3,False
run_076.png,paths,qwen235b,3.0,1,1,False
run_078.png,paths,qwen235b,3.0,2,3,False
run_079.png,paths,qwen235b,3.0,1,1,False
run_080.png,paths,qwen235b,4.0,2,2,False
run_082.png,paths,qwen235b,4.0,1,1,False
run_084.png,paths,qwen235b,4.0,2,3,False
run_085.png,paths,qwen235b,3.0,3,1,True
run_086.png,paths,qwen235b,4.0,3,2,False
run_087.png,paths,qwen235b,4.0,2,3,False
run_088.png,paths,qwen235b,3.0,4,1,False
run_089.png,paths,qwen235b,4.0,2,2,False
run_090.png,paths,qwen235b,3.0,3,3,True
run_092.png,paths,qwen235b,3.0,4,2,False
run_093.png,paths,qwen235b,3.0,2,3,False
run_094.png,paths,qwen235b,2.0,3,1,False
run_095.png,paths,qwen235b,4.0,3,2,False
run_096.png,paths,qwen235b,4.0,3,3,False
run_097.png,paths,qwen235b,4.0,1,1,False
run_098.png,paths,qwen235b,3.0,3,2,True
run_099.png,paths,qwen235b,3.0,3,3,True
run_103.png,paths,qwen235b,3.0,2,1,False
run_107.png,paths,qwen235b,4.0,2,2,False
run_110.png,paths,qwen235b,3.0,3,2,True
run_113.png,paths,qwen235b,3.0,2,2,False
run_114.png,paths,qwen235b,4.0,2,3,False
